epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,254.196,0.4681,0.3105,0.9699,0.99834,1,0.995,0.91284,0.36796,0.22718,0.91916,0.000878,0.000878,0.000878
87,258.956,0.45188,0.31139,0.9645,0.99826,1,0.995,0.91874,0.36196,0.24889,0.921,0.0008648,0.0008648,0.0008648
88,260.257,0.48633,0.31581,0.97296,0.99849,1,0.995,0.89956,0.41418,0.24746,0.95203,0.0008516,0.0008516,0.0008516
89,261.497,0.48292,0.3101,1.00096,0.99847,1,0.995,0.90182,0.43964,0.26044,0.94966,0.0008384,0.0008384,0.0008384
90,262.71,0.44897,0.29845,0.97018,0.99845,1,0.995,0.90897,0.42459,0.2403,0.94179,0.0008252,0.0008252,0.0008252
91,266.166,0.45307,0.28265,0.96073,0.99848,1,0.995,0.9206,0.36769,0.23124,0.92226,0.000812,0.000812,0.000812
92,272.081,0.45873,0.31525,0.96364,0.99839,1,0.995,0.89574,0.4443,0.24604,0.9713,0.0007988,0.0007988,0.0007988
93,277.686,0.43835,0.30437,0.95178,0.99848,1,0.995,0.88788,0.48284,0.26381,0.97964,0.0007856,0.0007856,0.0007856
94,279.02,0.4728,0.30682,0.97352,0.99852,1,0.995,0.90465,0.43844,0.23736,0.96117,0.0007724,0.0007724,0.0007724
95,280.203,0.43668,0.28732,0.94413,0.99857,1,0.995,0.91075,0.42681,0.22084,0.96786,0.0007592,0.0007592,0.0007592
96,281.459,0.43401,0.28284,0.93922,0.99856,1,0.995,0.89813,0.46517,0.23696,0.99305,0.000746,0.000746,0.000746
97,283.824,0.46463,0.29504,0.96842,0.99855,1,0.995,0.89337,0.44789,0.23087,0.97445,0.0007328,0.0007328,0.0007328
98,289.617,0.42538,0.27332,0.93677,0.99855,1,0.995,0.92012,0.44028,0.22302,0.97801,0.0007196,0.0007196,0.0007196
99,295.174,0.41749,0.28999,0.94353,0.99854,1,0.995,0.92688,0.4172,0.22157,0.95993,0.0007064,0.0007064,0.0007064
100,300.896,0.38424,0.26523,0.9259,0.99858,1,0.995,0.90469,0.43456,0.2232,0.97195,0.0006932,0.0006932,0.0006932
101,302.419,0.4294,0.28382,0.95377,0.99518,1,0.995,0.91443,0.41302,0.24058,0.9492,0.00068,0.00068,0.00068
102,303.663,0.41821,0.2782,0.9361,0.99197,1,0.995,0.91763,0.39889,0.24821,0.93968,0.0006668,0.0006668,0.0006668
103,304.889,0.43745,0.28903,0.96249,0.9985,1,0.995,0.90845,0.41572,0.2197,0.95075,0.0006536,0.0006536,0.0006536
104,306.265,0.43827,0.28422,0.9644,0.99856,1,0.995,0.91007,0.39947,0.22934,0.94597,0.0006404,0.0006404,0.0006404
105,311.666,0.44281,0.301,0.9625,0.99859,1,0.995,0.91275,0.41683,0.22659,0.96276,0.0006272,0.0006272,0.0006272
106,317.539,0.38903,0.27981,0.91958,0.9986,1,0.995,0.91698,0.4204,0.23013,0.96307,0.000614,0.000614,0.000614
107,323.138,0.40971,0.27246,0.93771,0.99861,1,0.995,0.92262,0.39006,0.21906,0.95005,0.0006008,0.0006008,0.0006008
108,327.854,0.42221,0.28123,0.94489,0.99862,1,0.995,0.92206,0.38049,0.21824,0.94702,0.0005876,0.0005876,0.0005876
109,329.144,0.4181,0.26065,0.92928,0.99862,1,0.995,0.92276,0.36365,0.20571,0.94218,0.0005744,0.0005744,0.0005744
110,330.47,0.40772,0.27111,0.96197,0.99862,1,0.995,0.9503,0.36279,0.22574,0.94281,0.0005612,0.0005612,0.0005612
111,331.762,0.3949,0.26022,0.93134,0.99865,1,0.995,0.93575,0.38931,0.20615,0.94687,0.000548,0.000548,0.000548
112,334.539,0.37586,0.25442,0.92929,0.99864,1,0.995,0.92954,0.40853,0.20616,0.94606,0.0005348,0.0005348,0.0005348
113,340.255,0.40905,0.27285,0.94437,0.99862,1,0.995,0.92651,0.41501,0.22343,0.95444,0.0005216,0.0005216,0.0005216
114,345.614,0.41929,0.27681,0.94251,0.99859,1,0.995,0.93173,0.40968,0.21321,0.95946,0.0005084,0.0005084,0.0005084
115,350.636,0.38853,0.24521,0.95687,0.99855,1,0.995,0.92665,0.41138,0.20364,0.96062,0.0004952,0.0004952,0.0004952
116,351.98,0.41384,0.26472,0.94607,0.99854,1,0.995,0.92909,0.3955,0.20627,0.95478,0.000482,0.000482,0.000482
117,353.254,0.40311,0.27505,0.93558,0.99855,1,0.995,0.92731,0.38958,0.19318,0.94687,0.0004688,0.0004688,0.0004688
118,354.729,0.35343,0.25051,0.90624,0.99857,1,0.995,0.92527,0.3778,0.18212,0.93423,0.0004556,0.0004556,0.0004556
119,360.408,0.39334,0.25064,0.94675,0.99856,1,0.995,0.93372,0.3745,0.18856,0.92888,0.0004424,0.0004424,0.0004424
120,365.743,0.38243,0.25488,0.91908,0.99862,1,0.995,0.92953,0.40442,0.19677,0.94548,0.0004292,0.0004292,0.0004292
